Num. cliques,Min. gates,label
116,1.99822688352635,"zeroing=False, upper=False"
117,1.99822688352635,"zeroing=False, upper=False"
118,0.99907578558278,"zeroing=False, upper=False"
119,0.99907578558278,"zeroing=False, upper=False"
120,0.0,"zeroing=False, upper=False"
0,0.0,"zeroing=False, upper=True"
1,0.99907578558278,"zeroing=False, upper=True"
2,0.99907578558278,"zeroing=False, upper=True"
3,1.99822688352635,"zeroing=False, upper=True"
4,1.99822688352635,"zeroing=False, upper=True"
5,2.99744888720343,"zeroing=False, upper=True"
6,2.99744888720343,"zeroing=False, upper=True"
7,2.99744888720343,"zeroing=False, upper=True"
8,3.99673458269901,"zeroing=False, upper=True"
9,3.99673458269901,"zeroing=False, upper=True"
10,4.99607830573288,"zeroing=False, upper=True"
11,4.99607830573288,"zeroing=False, upper=True"
12,4.99607830573288,"zeroing=False, upper=True"
13,4.99607830573288,"zeroing=False, upper=True"
14,5.99547497650454,"zeroing=False, upper=True"
15,5.99547497650454,"zeroing=False, upper=True"
16,5.99547497650454,"zeroing=False, upper=True"
17,6.9949200295024,"zeroing=False, upper=True"
18,6.9949200295024,"zeroing=False, upper=True"
19,6.9949200295024,"zeroing=False, upper=True"
20,6.9949200295024,"zeroing=False, upper=True"
21,6.9949200295024,"zeroing=False, upper=True"
22,7.99440935344808,"zeroing=False, upper=True"
23,7.99440935344808,"zeroing=False, upper=True"
24,7.99440935344808,"zeroing=False, upper=True"
25,7.99440935344808,"zeroing=False, upper=True"
26,7.99440935344808,"zeroing=False, upper=True"
27,8.99393923982181,"zeroing=False, upper=True"
28,8.99393923982181,"zeroing=False, upper=True"
29,8.99393923982181,"zeroing=False, upper=True"
30,8.99393923982181,"zeroing=False, upper=True"
31,8.99393923982181,"zeroing=False, upper=True"
32,8.99393923982181,"zeroing=False, upper=True"
33,8.99393923982181,"zeroing=False, upper=True"
34,9.99350633723693,"zeroing=False, upper=True"
35,9.99350633723693,"zeroing=False, upper=True"
36,9.99350633723693,"zeroing=False, upper=True"
37,9.99350633723693,"zeroing=False, upper=True"
38,9.99350633723693,"zeroing=False, upper=True"
39,9.99350633723693,"zeroing=False, upper=True"
40,9.99350633723693,"zeroing=False, upper=True"
41,9.99350633723693,"zeroing=False, upper=True"
42,9.99350633723693,"zeroing=False, upper=True"
43,10.9931076122888,"zeroing=False, upper=True"
44,10.9931076122888,"zeroing=False, upper=True"
45,10.9931076122888,"zeroing=False, upper=True"
46,10.9931076122888,"zeroing=False, upper=True"
47,10.9931076122888,"zeroing=False, upper=True"
48,10.9931076122888,"zeroing=False, upper=True"
49,10.9931076122888,"zeroing=False, upper=True"
50,10.9931076122888,"zeroing=False, upper=True"
51,10.9931076122888,"zeroing=False, upper=True"
52,10.9931076122888,"zeroing=False, upper=True"
53,10.9931076122888,"zeroing=False, upper=True"
54,10.9931076122888,"zeroing=False, upper=True"
55,10.9931076122888,"zeroing=False, upper=True"
56,10.9931076122888,"zeroing=False, upper=True"
57,10.9931076122888,"zeroing=False, upper=True"
58,10.9931076122888,"zeroing=False, upper=True"
59,10.9931076122888,"zeroing=False, upper=True"
60,10.9931076122888,"zeroing=False, upper=True"
61,10.9931076122888,"zeroing=False, upper=True"
62,10.9931076122888,"zeroing=False, upper=True"
63,10.9931076122888,"zeroing=False, upper=True"
64,10.9931076122888,"zeroing=False, upper=True"
65,10.9931076122888,"zeroing=False, upper=True"
66,10.9931076122888,"zeroing=False, upper=True"
67,10.9931076122888,"zeroing=False, upper=True"
68,10.9931076122888,"zeroing=False, upper=True"
69,10.9931076122888,"zeroing=False, upper=True"
70,10.9931076122888,"zeroing=False, upper=True"
71,10.9931076122888,"zeroing=False, upper=True"
72,10.9931076122888,"zeroing=False, upper=True"
73,10.9931076122888,"zeroing=False, upper=True"
74,10.9931076122888,"zeroing=False, upper=True"
75,10.9931076122888,"zeroing=False, upper=True"
76,10.9931076122888,"zeroing=False, upper=True"
77,10.9931076122888,"zeroing=False, upper=True"
78,9.99350633723693,"zeroing=False, upper=True"
79,9.99350633723693,"zeroing=False, upper=True"
80,9.99350633723693,"zeroing=False, upper=True"
81,9.99350633723693,"zeroing=False, upper=True"
82,9.99350633723693,"zeroing=False, upper=True"
83,9.99350633723693,"zeroing=False, upper=True"
84,9.99350633723693,"zeroing=False, upper=True"
85,9.99350633723693,"zeroing=False, upper=True"
86,9.99350633723693,"zeroing=False, upper=True"
87,8.99393923982181,"zeroing=False, upper=True"
88,8.99393923982181,"zeroing=False, upper=True"
89,8.99393923982181,"zeroing=False, upper=True"
90,8.99393923982181,"zeroing=False, upper=True"
91,8.99393923982181,"zeroing=False, upper=True"
92,8.99393923982181,"zeroing=False, upper=True"
93,8.99393923982181,"zeroing=False, upper=True"
94,7.99440935344808,"zeroing=False, upper=True"
95,7.99440935344808,"zeroing=False, upper=True"
96,7.99440935344808,"zeroing=False, upper=True"
97,7.99440935344808,"zeroing=False, upper=True"
98,7.99440935344808,"zeroing=False, upper=True"
99,6.9949200295024,"zeroing=False, upper=True"
100,6.9949200295024,"zeroing=False, upper=True"
101,6.9949200295024,"zeroing=False, upper=True"
102,6.9949200295024,"zeroing=False, upper=True"
103,6.9949200295024,"zeroing=False, upper=True"
104,5.99547497650454,"zeroing=False, upper=True"
105,5.99547497650454,"zeroing=False, upper=True"
106,5.99547497650454,"zeroing=False, upper=True"
107,4.99607830573288,"zeroing=False, upper=True"
108,4.99607830573288,"zeroing=False, upper=True"
109,4.99607830573288,"zeroing=False, upper=True"
110,4.99607830573288,"zeroing=False, upper=True"
111,3.99673458269901,"zeroing=False, upper=True"
112,3.99673458269901,"zeroing=False, upper=True"
113,2.99744888720343,"zeroing=False, upper=True"
114,2.99744888720343,"zeroing=False, upper=True"
115,2.99744888720343,"zeroing=False, upper=True"
116,1.99822688352635,"zeroing=False, upper=True"
117,1.99822688352635,"zeroing=False, upper=True"
118,0.99907578558278,"zeroing=False, upper=True"
119,0.99907578558278,"zeroing=False, upper=True"
120,0.0,"zeroing=False, upper=True"
0,0.0,"zeroing=True, upper=False"
1,0.99907578558278,"zeroing=True, upper=False"
2,0.99907578558278,"zeroing=True, upper=False"
3,1.99822688352635,"zeroing=True, upper=False"
4,1.99822688352635,"zeroing=True, upper=False"
5,2.99744888720343,"zeroing=True, upper=False"
6,2.99744888720343,"zeroing=True, upper=False"
7,3.33093032392303,"zeroing=True, upper=False"
8,3.99673458269901,"zeroing=True, upper=False"
9,4.47289518145034,"zeroing=True, upper=False"
10,4.99607830573288,"zeroing=True, upper=False"
11,4.99607830573288,"zeroing=True, upper=False"
12,5.28305748506802,"zeroing=True, upper=False"
13,5.63868188531144,"zeroing=True, upper=False"
14,5.99547497650454,"zeroing=True, upper=False"
15,6.25997538091871,"zeroing=True, upper=False"
16,6.5934973217036,"zeroing=True, upper=False"
17,6.9949200295024,"zeroing=True, upper=False"
18,7.53893490439232,"zeroing=True, upper=False"
19,8.13981539421683,"zeroing=True, upper=False"
20,8.63796494369556,"zeroing=True, upper=False"
21,8.92279537113582,"zeroing=True, upper=False"
22,8.97733330380509,"zeroing=True, upper=False"
23,8.89763024655344,"zeroing=True, upper=False"
24,8.81029426502082,"zeroing=True, upper=False"
25,8.80078821371846,"zeroing=True, upper=False"
26,8.87890260710276,"zeroing=True, upper=False"
27,8.99393923982181,"zeroing=True, upper=False"
28,9.07863504861237,"zeroing=True, upper=False"
29,9.09206750605548,"zeroing=True, upper=False"
30,9.04314529246865,"zeroing=True, upper=False"
31,8.99393923982181,"zeroing=True, upper=False"
32,9.05324568009876,"zeroing=True, upper=False"
33,9.37120238205464,"zeroing=True, upper=False"
34,10.1390688366901,"zeroing=True, upper=False"
35,11.5906265137389,"zeroing=True, upper=False"
36,13.9974548030743,"zeroing=True, upper=False"
37,17.6508032258621,"zeroing=True, upper=False"
38,22.8268076354787,"zeroing=True, upper=False"
39,29.7374764906049,"zeroing=True, upper=False"
40,38.4755023222522,"zeroing=True, upper=False"
41,48.9654340541454,"zeroing=True, upper=False"
42,60.9366656980733,"zeroing=True, upper=False"
43,73.9353900869711,"zeroing=True, upper=False"
44,87.39424830818,"zeroing=True, upper=False"
45,100.781590866668,"zeroing=True, upper=False"
46,113.858763864677,"zeroing=True, upper=False"
47,127.08426885937,"zeroing=True, upper=False"
48,142.21620829987,"zeroing=True, upper=False"
49,163.17368765301,"zeroing=True, upper=False"
50,197.214364576763,"zeroing=True, upper=False"
51,256.456765491916,"zeroing=True, upper=False"
52,359.710092628119,"zeroing=True, upper=False"
53,534.463812565645,"zeroing=True, upper=False"
54,818.73817826884,"zeroing=True, upper=False"
55,1262.32527487891,"zeroing=True, upper=False"
56,1926.79744575992,"zeroing=True, upper=False"
57,2883.58145396694,"zeroing=True, upper=False"
58,4209.45428459541,"zeroing=True, upper=False"
59,5979.06184791554,"zeroing=True, upper=False"
60,8254.51613705307,"zeroing=True, upper=False"
61,11072.7607811001,"zeroing=True, upper=False"
62,14432.1192785623,"zeroing=True, upper=False"
63,18280.1065717521,"zeroing=True, upper=False"
64,22505.0096487188,"zeroing=True, upper=False"
65,26933.7480917267,"zeroing=True, upper=False"
66,31337.9886783877,"zeroing=True, upper=False"
67,35449.3927355299,"zeroing=True, upper=False"
68,38983.3419413583,"zeroing=True, upper=False"
69,41668.7764108764,"zeroing=True, upper=False"
70,43280.245314439,"zeroing=True, upper=False"
71,43667.2950953282,"zeroing=True, upper=False"
72,42776.210106482,"zeroing=True, upper=False"
73,40660.0153834367,"zeroing=True, upper=False"
74,37474.4644213932,"zeroing=True, upper=False"
75,33460.1463077589,"zeroing=True, upper=False"
76,28913.3618377642,"zeroing=True, upper=False"
77,24150.4815787452,"zeroing=True, upper=False"
78,19471.6340922327,"zeroing=True, upper=False"
79,15129.5123779003,"zeroing=True, upper=False"
80,11307.8507020474,"zeroing=True, upper=False"
81,8112.01979608787,"zeroing=True, upper=False"
82,5571.73069531165,"zeroing=True, upper=False"
83,3653.60812505341,"zeroing=True, upper=False"
84,2279.88412444341,"zeroing=True, upper=False"
85,1348.94323199784,"zeroing=True, upper=False"
86,753.915888393076,"zeroing=True, upper=False"
87,396.709224832605,"zeroing=True, upper=False"
88,196.374423403079,"zeroing=True, upper=False"
89,92.1108958984782,"zeroing=True, upper=False"
90,42.1810620665691,"zeroing=True, upper=False"
91,20.4189380275741,"zeroing=True, upper=False"
92,11.9113942549074,"zeroing=True, upper=False"
93,8.99393923982181,"zeroing=True, upper=False"
94,8.15752215991226,"zeroing=True, upper=False"
95,7.99440935344808,"zeroing=True, upper=False"
96,8.01801638412763,"zeroing=True, upper=False"
97,8.08121056191296,"zeroing=True, upper=False"
98,8.13687022123145,"zeroing=True, upper=False"
99,8.1617952032283,"zeroing=True, upper=False"
100,8.14393520115356,"zeroing=True, upper=False"
101,8.08633540080941,"zeroing=True, upper=False"
102,8.00826810240299,"zeroing=True, upper=False"
103,7.93688751370674,"zeroing=True, upper=False"
104,7.89245058459876,"zeroing=True, upper=False"
105,7.87777490014387,"zeroing=True, upper=False"
106,7.88121516940262,"zeroing=True, upper=False"
107,7.8898202399905,"zeroing=True, upper=False"
108,7.89838209266903,"zeroing=True, upper=False"
109,7.9069044240572,"zeroing=True, upper=False"
110,7.91539089633713,"zeroing=True, upper=False"
111,7.92384514383269,"zeroing=True, upper=False"
112,7.9322707793179,"zeroing=True, upper=False"
113,7.94067139917464,"zeroing=True, upper=False"
114,7.94905058816527,"zeroing=True, upper=False"
115,7.95741192334768,"zeroing=True, upper=False"
116,7.96575897725817,"zeroing=True, upper=False"
117,7.9740953203242,"zeroing=True, upper=False"
118,7.98242452248973,"zeroing=True, upper=False"
119,7.99075015403626,"zeroing=True, upper=False"
120,7.99907578558278,"zeroing=True, upper=False"
0,0.0,"zeroing=True, upper=True"
1,0.99907578558278,"zeroing=True, upper=True"
2,0.99907578558278,"zeroing=True, upper=True"
3,1.99822688352635,"zeroing=True, upper=True"
4,1.99822688352635,"zeroing=True, upper=True"
5,2.99744888720343,"zeroing=True, upper=True"
6,2.99744888720343,"zeroing=True, upper=True"
7,3.34440130170119,"zeroing=True, upper=True"
8,3.99673458269901,"zeroing=True, upper=True"
9,4.252360289893,"zeroing=True, upper=True"
10,4.99607830573288,"zeroing=True, upper=True"
11,4.99607830573288,"zeroing=True, upper=True"
12,5.40267181333921,"zeroing=True, upper=True"
13,5.75413955371515,"zeroing=True, upper=True"
14,5.99547497650454,"zeroing=True, upper=True"
15,6.25534919888376,"zeroing=True, upper=True"
16,6.57638875291336,"zeroing=True, upper=True"
17,6.9949200295024,"zeroing=True, upper=True"
18,7.46211973620434,"zeroing=True, upper=True"
19,7.86600705010755,"zeroing=True, upper=True"
20,8.13448338841487,"zeroing=True, upper=True"
21,8.2583694786348,"zeroing=True, upper=True"
22,8.30789347328834,"zeroing=True, upper=True"
23,8.37136563182649,"zeroing=True, upper=True"
24,8.49896459792654,"zeroing=True, upper=True"
25,8.68098675583812,"zeroing=True, upper=True"
26,8.86488797918581,"zeroing=True, upper=True"
27,8.99393923982181,"zeroing=True, upper=True"
28,9.04133115441194,"zeroing=True, upper=True"
29,9.0237971964538,"zeroing=True, upper=True"
30,8.99393923982181,"zeroing=True, upper=True"
31,9.02065347279256,"zeroing=True, upper=True"
32,9.16882654533608,"zeroing=True, upper=True"
33,9.4854012691322,"zeroing=True, upper=True"
34,9.99350633723693,"zeroing=True, upper=True"
35,10.6927144199811,"zeroing=True, upper=True"
36,11.5624152036362,"zeroing=True, upper=True"
37,12.5659781627584,"zeroing=True, upper=True"
38,13.654649277787,"zeroing=True, upper=True"
39,14.7711377857864,"zeroing=True, upper=True"
